student_id,attendance,midterm_marks,assignment_score,lab_performance,mathematics,programming,dbms,english,operating_systems,performance_label
STU1000,89,70,72,71,78,80,70,72,80,Good
STU1001,62,66,68,46,65,51,47,46,62,Average
STU1002,71,69,64,54,57,54,56,63,53,Average
STU1003,62,49,66,51,62,48,48,62,45,Average
STU1004,43,37,45,28,43,35,19,39,45,Weak
STU1005,81,71,72,79,62,71,76,65,77,Good
STU1006,61,50,69,54,45,61,59,56,43,Average
STU1007,78,73,80,79,67,71,82,69,80,Good
STU1008,92,74,77,73,74,70,60,68,68,Good
STU1009,71,52,58,63,58,47,44,47,42,Average
STU1010,69,51,56,51,50,47,53,46,42,Average
STU1011,91,98,84,82,89,82,99,77,78,Excellent
STU1012,89,73,67,65,64,80,73,68,68,Good
STU1013,69,57,66,51,58,59,45,49,64,Average
STU1014,74,55,51,57,48,58,63,46,51,Average
STU1015,35,47,47,31,29,34,47,49,28,Weak
STU1016,81,60,65,84,72,66,62,68,65,Good
STU1017,68,49,48,63,51,51,65,59,63,Average
STU1018,83,79,81,81,79,69,66,63,62,Good
STU1019,91,83,81,81,61,59,81,66,60,Good
STU1020,61,65,59,50,64,43,64,55,65,Average
STU1021,80,83,69,84,61,63,81,72,75,Good
STU1022,68,50,63,47,61,43,60,47,60,Average
STU1023,81,79,73,65,67,64,77,69,60,Good
STU1024,77,67,57,47,48,55,67,60,66,Average
STU1025,76,46,48,60,53,44,46,67,50,Average
STU1026,93,75,80,67,79,81,81,62,79,Good
STU1027,92,78,85,87,97,77,93,99,80,Excellent
STU1028,47,33,37,21,39,17,33,48,26,Weak
STU1029,78,60,78,80,79,81,67,68,62,Good
STU1030,60,60,59,63,63,62,63,58,47,Average
STU1031,37,46,46,21,38,44,18,47,32,Weak
STU1032,64,60,66,48,44,56,58,56,55,Average
STU1033,64,47,28,24,41,43,34,33,38,Weak
STU1034,60,64,68,67,42,42,59,69,51,Average
STU1035,32,27,33,43,35,29,39,42,19,Weak
STU1036,84,61,81,72,60,66,70,83,75,Good
STU1037,69,67,50,62,66,63,54,51,66,Average
STU1038,79,45,55,58,57,53,53,63,64,Average
STU1039,86,76,98,96,97,84,83,89,99,Excellent
STU1040,64,45,55,65,53,51,46,51,45,Average
STU1041,61,39,49,34,20,37,25,39,33,Weak
STU1042,59,38,36,43,36,42,43,42,43,Weak
STU1043,89,97,88,91,98,75,78,89,79,Excellent
STU1044,90,84,72,77,80,58,75,68,64,Good
STU1045,62,56,63,63,46,61,66,58,46,Average
STU1046,98,88,99,84,89,90,93,95,84,Excellent
STU1047,79,82,74,69,63,59,79,71,78,Good
STU1048,60,68,52,57,45,55,65,60,64,Average
STU1049,57,46,39,43,29,32,20,47,18,Weak
STU1050,78,55,52,56,44,40,42,52,51,Average
STU1051,87,71,78,66,78,75,62,78,67,Good
STU1052,84,61,83,73,66,61,80,79,72,Good
STU1053,54,40,48,44,21,24,22,28,41,Weak
STU1054,64,35,23,37,34,21,41,42,22,Weak
STU1055,87,82,67,73,76,74,79,77,81,Good
STU1056,93,76,68,76,68,76,71,70,66,Good
STU1057,60,39,38,45,32,30,38,24,20,Weak
STU1058,79,65,51,65,64,55,66,51,54,Average
STU1059,43,45,24,22,40,43,28,30,35,Weak
STU1060,38,29,45,31,34,43,23,26,31,Weak
STU1061,69,53,65,46,46,44,47,63,49,Average
STU1062,75,81,84,81,66,70,63,65,65,Good
STU1063,78,56,69,51,51,65,60,51,44,Average
STU1064,92,79,72,73,66,58,62,74,76,Good
STU1065,85,80,100,85,89,87,90,89,98,Excellent
STU1066,89,85,84,83,80,93,97,99,95,Excellent
STU1067,91,73,79,65,80,79,81,64,75,Good
STU1068,70,56,57,60,49,45,53,68,62,Average
STU1069,78,67,82,69,68,61,81,78,68,Good
STU1070,94,72,80,77,73,60,65,79,78,Good
STU1071,74,69,49,54,65,57,54,49,64,Average
STU1072,75,77,79,81,70,78,81,78,72,Good
STU1073,93,77,80,100,93,97,83,91,82,Excellent
STU1074,32,40,42,24,38,19,27,29,36,Weak
STU1075,88,68,78,65,78,70,72,65,60,Good
STU1076,61,52,54,46,63,61,44,62,53,Average
STU1077,34,49,49,46,42,31,33,34,40,Weak
STU1078,73,46,58,63,48,45,43,50,59,Average
STU1079,74,63,49,64,66,45,42,68,56,Average
STU1080,84,78,81,69,63,67,76,71,76,Good
STU1081,79,61,70,66,72,68,70,77,70,Good
STU1082,93,97,95,90,99,90,85,78,85,Excellent
STU1083,62,47,65,63,60,60,46,62,51,Average
STU1084,80,60,69,73,71,71,61,78,73,Good
STU1085,83,84,79,79,83,68,75,78,63,Good
STU1086,64,48,39,34,32,45,41,41,31,Weak
STU1087,73,68,49,57,67,53,65,63,48,Average
STU1088,73,55,62,57,59,65,47,47,60,Average
STU1089,79,69,71,81,66,79,71,78,72,Good
STU1090,63,54,50,53,54,57,56,48,56,Average
STU1091,74,52,55,61,53,58,51,53,46,Average
STU1092,76,83,77,70,64,58,80,83,80,Good
STU1093,90,63,75,73,82,60,78,69,64,Good
STU1094,60,25,21,39,45,25,21,34,23,Weak
STU1095,59,43,25,38,47,39,19,34,28,Weak
STU1096,78,57,59,49,47,65,63,48,60,Average
STU1097,94,76,76,79,60,71,65,66,70,Good
STU1098,42,30,22,20,23,32,41,29,22,Weak
STU1099,96,76,92,87,79,94,78,79,86,Excellent
STU1100,70,59,53,67,44,56,46,56,59,Average
STU1101,92,85,88,81,89,77,80,75,85,Excellent
STU1102,67,55,56,49,55,42,62,49,46,Average
STU1103,88,63,77,74,84,75,67,69,66,Good
STU1104,78,50,48,67,56,40,66,61,42,Average
STU1105,76,73,72,72,78,64,78,67,65,Good
STU1106,93,67,74,84,74,72,60,81,66,Good
STU1107,65,69,48,49,64,40,45,66,43,Average
STU1108,69,45,69,50,54,54,45,57,65,Average
STU1109,74,52,52,59,45,51,54,46,60,Average
STU1110,63,55,52,64,52,49,49,50,47,Average
STU1111,89,73,75,76,72,65,77,62,74,Good
STU1112,70,56,59,48,57,43,46,68,46,Average
STU1113,69,61,56,66,60,53,49,53,63,Average
STU1114,30,33,24,40,43,28,21,41,40,Weak
STU1115,44,40,34,28,38,23,27,39,42,Weak
STU1116,93,77,99,90,83,76,84,92,79,Excellent
STU1117,53,44,26,39,23,35,41,20,34,Weak
STU1118,70,66,65,65,58,46,58,64,50,Average
STU1119,90,96,87,96,84,75,90,97,96,Excellent
STU1120,93,76,77,80,67,76,77,62,73,Good
STU1121,77,46,69,61,59,45,60,48,42,Average
STU1122,81,62,74,74,78,71,61,62,82,Good
STU1123,61,37,26,48,25,15,42,42,20,Weak
STU1124,82,81,79,69,62,76,60,76,67,Good
STU1125,100,98,93,93,88,90,81,94,82,Excellent
STU1126,98,97,95,97,84,84,84,75,100,Excellent
STU1127,48,23,48,47,35,16,18,34,22,Weak
STU1128,84,61,67,76,79,62,64,67,68,Good
STU1129,86,62,84,76,83,74,69,75,82,Good
STU1130,76,62,66,61,55,48,49,46,54,Average
STU1131,83,81,75,78,63,70,61,66,70,Good
